stage,little,medium,big,vulkan,cuda,device,run
1,19.2923,5.5354,4.6602,8.5194,0.0,3A021JEHN02756,1
2,22.9315,12.4788,11.8376,9.7025,0.0,3A021JEHN02756,1
3,10.1288,2.8947,2.6106,5.4077,0.0,3A021JEHN02756,1
4,12.6809,6.6491,6.0179,5.7073,0.0,3A021JEHN02756,1
5,5.7341,1.6712,1.5511,2.6471,0.0,3A021JEHN02756,1
6,5.7295,1.7009,1.5623,2.8061,0.0,3A021JEHN02756,1
7,5.7338,1.6666,1.5672,3.2858,0.0,3A021JEHN02756,1
8,6.8667,3.4687,3.2092,3.4136,0.0,3A021JEHN02756,1
9,0.0242,0.0119,0.0105,0.6402,0.0,3A021JEHN02756,1
1,114.0,7.7419,5.8107,7.9398,0.0,3A021JEHN02756,2
2,30.1807,15.8265,15.7053,9.9109,0.0,3A021JEHN02756,2
3,10.0968,3.1765,3.0788,5.8762,0.0,3A021JEHN02756,2
4,12.6692,6.3515,6.7571,5.386,0.0,3A021JEHN02756,2
5,5.6716,1.6443,1.5592,2.9505,0.0,3A021JEHN02756,2
6,5.7762,1.6791,1.5802,2.7101,0.0,3A021JEHN02756,2
7,5.6757,1.6514,1.5621,3.2438,0.0,3A021JEHN02756,2
8,6.8043,3.3997,3.6268,3.4644,0.0,3A021JEHN02756,2
9,0.0242,0.0117,0.0126,0.6441,0.0,3A021JEHN02756,2
1,56.2584,8.5849,8.2947,8.9482,0.0,3A021JEHN02756,3
2,29.2924,14.695,19.076,9.9012,0.0,3A021JEHN02756,3
3,10.1172,2.9982,2.7733,5.7838,0.0,3A021JEHN02756,3
4,12.5879,6.3707,7.0778,5.2574,0.0,3A021JEHN02756,3
5,5.694,1.6894,1.5814,2.5499,0.0,3A021JEHN02756,3
6,5.694,1.6416,1.5557,3.2727,0.0,3A021JEHN02756,3
7,5.6917,1.6581,1.5578,3.2515,0.0,3A021JEHN02756,3
8,6.7676,3.4534,3.5343,3.3763,0.0,3A021JEHN02756,3
9,0.0241,0.0118,0.0122,0.6421,0.0,3A021JEHN02756,3
1,19.2923,5.5148,4.0329,7.8719,0.0,3A021JEHN02756,1
2,23.0457,12.2689,10.7876,8.7422,0.0,3A021JEHN02756,1
3,10.1207,2.9111,2.2334,5.3745,0.0,3A021JEHN02756,1
4,12.6985,6.5071,5.7342,5.8651,0.0,3A021JEHN02756,1
5,5.7059,1.659,1.3125,2.8556,0.0,3A021JEHN02756,1
6,5.7051,1.6638,1.3341,3.1688,0.0,3A021JEHN02756,1
7,5.7109,1.6909,1.34,3.2111,0.0,3A021JEHN02756,1
8,6.675,3.4602,3.0119,3.4511,0.0,3A021JEHN02756,1
9,0.0378,0.0118,0.01,0.5768,0.0,3A021JEHN02756,1
1,20.9042,5.7797,4.8271,7.8071,0.0,3A021JEHN02756,2
2,22.9589,12.4938,11.5991,9.0589,0.0,3A021JEHN02756,2
3,10.1247,2.9093,2.3207,5.8362,0.0,3A021JEHN02756,2
4,12.6341,6.477,5.5027,5.4612,0.0,3A021JEHN02756,2
5,5.7177,1.6859,1.3623,2.6588,0.0,3A021JEHN02756,2
6,5.7117,1.6701,1.3802,2.7213,0.0,3A021JEHN02756,2
7,5.6606,1.6942,1.382,2.428,0.0,3A021JEHN02756,2
8,6.8381,3.4698,2.9958,3.5178,0.0,3A021JEHN02756,2
9,0.0243,0.0119,0.0101,0.6631,0.0,3A021JEHN02756,2
1,121.4524,7.0702,4.8208,7.4933,0.0,3A021JEHN02756,3
2,26.0104,13.9503,11.4989,9.8984,0.0,3A021JEHN02756,3
3,10.0988,2.9366,2.5529,5.3964,0.0,3A021JEHN02756,3
4,12.6316,6.4744,5.8693,5.2119,0.0,3A021JEHN02756,3
5,5.8512,1.6804,1.5149,2.7043,0.0,3A021JEHN02756,3
6,5.7289,1.6719,1.5125,2.8754,0.0,3A021JEHN02756,3
7,5.6999,1.6724,1.5184,2.3977,0.0,3A021JEHN02756,3
8,6.839,3.4794,3.1352,3.3835,0.0,3A021JEHN02756,3
9,0.0246,0.0119,0.0106,0.6106,0.0,3A021JEHN02756,3
