stage,little,medium,big,vulkan,device,run
1,19.5577,5.6893,4.157,7.9291,3A021JEHN02756,1
2,23.3953,12.7342,10.7021,4.1276,3A021JEHN02756,1
3,10.1313,2.9043,2.2568,5.3333,3A021JEHN02756,1
4,12.6125,6.649,5.4511,2.5025,3A021JEHN02756,1
5,5.6893,1.6362,1.3409,3.2961,3A021JEHN02756,1
6,5.7371,1.6545,1.336,1.9628,3A021JEHN02756,1
7,5.7759,1.7246,1.4815,1.9456,3A021JEHN02756,1
8,6.9931,3.5105,3.1411,2.4802,3A021JEHN02756,1
9,0.0249,0.0116,0.0128,0.4654,3A021JEHN02756,1
1,19.6154,5.7586,4.004,7.1643,3A021JEHN02756,1
2,23.3488,12.7595,10.4375,3.7361,3A021JEHN02756,1
3,10.1717,3.012,2.267,5.1015,3A021JEHN02756,1
4,12.8228,6.5987,5.533,3.4792,3A021JEHN02756,1
5,5.7159,1.7276,1.4557,3.1246,3A021JEHN02756,1
6,5.7701,1.6595,1.4628,1.9686,3A021JEHN02756,1
7,5.8035,1.647,1.4837,2.105,3A021JEHN02756,1
8,6.9448,3.4384,3.1375,1.5688,3A021JEHN02756,1
9,0.0276,0.0116,0.0105,0.4727,3A021JEHN02756,1
1,19.7647,5.6145,4.012,7.8295,3A021JEHN02756,2
2,23.2045,12.7722,10.6809,7.0704,3A021JEHN02756,2
3,10.1313,3.0211,2.4693,4.5385,3A021JEHN02756,2
4,12.1071,6.549,6.2099,2.1163,3A021JEHN02756,2
5,5.7701,1.731,1.4918,2.1641,3A021JEHN02756,2
6,5.7701,1.7199,1.5098,1.9438,3A021JEHN02756,2
7,5.7429,1.665,1.6083,2.3403,3A021JEHN02756,2
8,6.8571,3.5986,3.1572,1.7187,3A021JEHN02756,2
9,0.0255,0.0123,0.0112,0.497,3A021JEHN02756,2
1,19.5577,5.6573,3.9802,10.04,3A021JEHN02756,1
2,23.1818,12.4568,11.2333,8.4958,3A021JEHN02756,1
3,10.2245,3.015,2.1996,4.763,3A021JEHN02756,1
4,12.8481,6.3885,5.5722,4.5982,3A021JEHN02756,1
5,5.7977,1.7204,1.332,1.996,3A021JEHN02756,1
6,5.6893,1.6399,1.3347,3.2251,3A021JEHN02756,1
7,5.7543,1.7053,1.4501,2.4523,3A021JEHN02756,1
8,6.8041,3.4706,3.1053,2.7162,3A021JEHN02756,1
9,0.0253,0.0117,0.0108,0.52,3A021JEHN02756,1
1,19.6863,5.4699,4.5845,6.5195,3A021JEHN02756,2
2,23.3488,12.2927,10.6,4.7847,3A021JEHN02756,2
3,10.1818,3.0364,2.3065,4.7547,3A021JEHN02756,2
4,12.3659,6.6556,5.4973,2.3088,3A021JEHN02756,2
5,5.7543,1.6389,1.4592,3.1841,3A021JEHN02756,2
6,5.8092,1.6628,1.5282,2.0263,3A021JEHN02756,2
7,5.8035,1.6801,1.5236,3.2251,3A021JEHN02756,2
8,6.9861,3.4048,3.2355,2.2847,3A021JEHN02756,2
9,0.0248,0.0116,0.0108,0.424,3A021JEHN02756,2
1,19.5437,5.4959,4.1992,7.3102,3A021JEHN02756,1
2,23.2299,12.4348,10.474,9.4038,3A021JEHN02756,1
3,10.05,2.9327,2.2647,4.3587,3A021JEHN02756,1
4,12.673,6.3746,5.4781,2.8533,3A021JEHN02756,1
5,5.745,1.6753,1.54,2.86,3A021JEHN02756,1
6,5.7364,1.6781,1.4959,2.7732,3A021JEHN02756,1
7,5.7179,1.6669,1.5551,1.9851,3A021JEHN02756,1
8,6.7383,3.4198,3.1509,1.8005,3A021JEHN02756,1
9,0.0246,0.0118,0.0108,0.5578,3A021JEHN02756,1
1,19.534,5.5905,4.1858,7.8898,3A021JEHN02756,2
2,23.1379,12.1697,10.6296,5.5889,3A021JEHN02756,2
3,10.1414,2.8874,2.5838,3.5079,3A021JEHN02756,2
4,12.7771,6.5147,6.179,4.4722,3A021JEHN02756,2
5,5.6827,1.6678,1.5117,2.0843,3A021JEHN02756,2
6,5.7529,1.6903,1.5313,2.2698,3A021JEHN02756,2
7,5.7644,1.6832,1.5372,2.0544,3A021JEHN02756,2
8,7.9407,3.4106,3.2238,2.6756,3A021JEHN02756,2
9,0.0249,0.0116,0.0109,0.4553,3A021JEHN02756,2
1,19.4854,5.5457,6.2236,7.4259,3A021JEHN02756,3
2,23.092,12.2622,11.2753,6.8435,3A021JEHN02756,3
3,10.1878,2.8987,2.5496,3.5487,3A021JEHN02756,3
4,12.4074,6.513,5.9673,4.4216,3A021JEHN02756,3
5,5.7723,1.6407,1.5201,2.487,3A021JEHN02756,3
6,5.696,1.6628,1.5443,2.1641,3A021JEHN02756,3
7,5.7421,1.6725,1.5772,2.3943,3A021JEHN02756,3
8,6.7315,3.4357,3.2553,1.7663,3A021JEHN02756,3
9,0.0251,0.0121,0.0106,0.3668,3A021JEHN02756,3
