stage,little,medium,big,vulkan,device,run
1,22.0435,5.7288,5.541,4.0723,3A021JEHN02756,1
2,26.3077,12.825,13.8649,3.2366,3A021JEHN02756,1
3,14.6232,3.4555,3.4793,2.6553,3A021JEHN02756,1
4,14.2113,6.9586,7.2071,1.8279,3A021JEHN02756,1
5,8.072,1.7764,2.0384,1.879,3A021JEHN02756,1
6,8.9554,2.0141,2.2044,1.4329,3A021JEHN02756,1
7,8.8509,1.8582,2.5288,1.617,3A021JEHN02756,1
8,9.2477,3.5618,4.2176,0.8129,3A021JEHN02756,1
9,0.0701,0.0206,0.0148,0.2724,3A021JEHN02756,1
1,22.6889,5.8343,5.5489,4.7934,3A021JEHN02756,1
2,27.6486,12.6296,13.64,3.2271,3A021JEHN02756,1
3,14.5507,3.2387,3.5603,2.4913,3A021JEHN02756,1
4,15.303,6.6447,7.594,1.8198,3A021JEHN02756,1
5,8.8246,1.8159,2.3726,1.4209,3A021JEHN02756,1
6,9.7379,1.8203,2.2339,1.7627,3A021JEHN02756,1
7,8.2541,1.9,2.1891,1.9941,3A021JEHN02756,1
8,8.2869,3.8295,4.3205,1.0767,3A021JEHN02756,1
9,0.0537,0.0142,0.0157,0.2618,3A021JEHN02756,1
1,24.0952,6.3648,6.6579,4.1475,3A021JEHN02756,2
2,31.0606,14.8551,14.4366,2.6081,3A021JEHN02756,2
3,14.1549,3.009,3.5893,2.6587,3A021JEHN02756,2
4,15.2727,6.6316,7.7538,1.6417,3A021JEHN02756,2
5,10.07,1.8752,2.3043,1.5492,3A021JEHN02756,2
6,8.681,1.6981,2.2886,1.9478,3A021JEHN02756,2
7,9.2936,1.7435,2.4351,1.7772,3A021JEHN02756,2
8,10.05,3.8213,4.6313,1.0308,3A021JEHN02756,2
9,0.0464,0.0144,0.0194,0.3061,3A021JEHN02756,2
